PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1255_1224.tif,463.73,8433,95.87,126.88,325.53,126,67.35,129,103,103.62,389.85,9938,404.4,125.61,94.58,131.64,95.87,126.88,131,,1.42,1.04,0.69,1.87,,0.49,1.33,0.87,0.85,,0.7,0.2,0.8,103.62,0.84,0.85,,0.49,0.75,0.84,0.85,,0.62,0.69,0.49,0.76,1.32,0.21
S1255_1226 (2).tif,369.4,5165,74.61,102.34,254.77,101,50.75,101,76,81.09,300.49,5950,316.42,99.52,69.4,103.43,74.61,102.34,103,,1.45,1.04,0.68,1.99,,0.48,1.43,0.86,0.87,,0.69,0.25,0.75,81.09,0.81,0.87,,0.48,0.7,0.81,0.87,,0.61,0.68,0.48,0.73,1.37,0.2
S1255_1228 (2).tif,342.13,6511,81.6,106.52,286.04,102,61.01,109,91,91.05,324.82,6917,325.38,104.41,81.05,110.32,81.6,106.52,112,,1.2,0.91,0.75,1.67,,0.7,1.29,0.95,0.94,,0.84,0.17,0.83,91.05,0.95,0.94,,0.7,0.78,0.95,0.94,,0.68,0.75,0.7,0.77,1.31,0.36
S1255_1228.tif,393.69,7162,83.84,131.31,300,130,54.33,132,88,95.49,364.68,8232,364.83,132.18,73.81,132.91,83.84,131.31,134,,1.31,0.91,0.65,2.39,,0.58,1.79,0.93,0.87,,0.76,0.33,0.67,95.49,0.93,0.87,,0.58,0.56,0.93,0.87,,0.52,0.65,0.58,0.64,1.57,0.2
S1255_1240.tif,299.95,4222,71.67,81.63,230.34,82,52.5,88,73,73.32,259.38,4655,275.73,84.19,66.65,88.6,71.67,81.63,89,,1.3,0.98,0.72,1.56,,0.59,1.26,0.92,0.91,,0.77,0.17,0.83,73.32,0.86,0.91,,0.59,0.79,0.86,0.91,,0.68,0.72,0.59,0.88,1.14,0.29
S1255_1244.tif,434.62,8286,101.48,114.47,322.68,109,73.57,118,112,102.71,377.99,9423,379,110.45,98.98,124.84,101.48,114.47,121,,1.35,1.01,0.71,1.48,,0.55,1.12,0.87,0.88,,0.74,0.05,0.95,102.71,0.87,0.88,,0.55,0.9,0.87,0.88,,0.68,0.71,0.55,0.89,1.13,0.27
S1255_1256 (3).tif,338.58,3597,63.62,96.66,212.61,93,37.53,98,64,67.67,276.35,4804,279.91,103.61,50,98.86,63.62,96.66,100,,1.59,1.06,0.58,2.48,,0.39,2.07,0.83,0.75,,0.63,0.35,0.65,67.67,0.82,0.75,,0.39,0.48,0.82,0.75,,0.47,0.58,0.39,0.66,1.52,0.11
S1255_1256.tif,689.15,14936,134.3,155.76,433.23,155,98.67,157,134,137.9,523.75,17484,532.94,164.27,122.75,175.89,134.3,155.76,175,,1.59,1.19,0.71,1.57,,0.4,1.34,0.77,0.85,,0.63,0.15,0.85,137.9,0.76,0.85,,0.4,0.75,0.76,0.85,,0.61,0.71,0.4,0.86,1.16,0.17
S1255_1258.tif,498.64,6776,86.3,151.47,291.8,152,45.05,150,88,92.88,391.85,8579,435.55,134.07,75.03,151.49,86.3,151.47,153,,1.71,1.05,0.52,3.37,,0.34,1.79,0.87,0.79,,0.59,0.41,0.59,92.88,0.79,0.79,,0.34,0.56,0.79,0.79,,0.38,0.52,0.34,0.57,1.76,0.07
S1255_1260 (2).tif,223.66,2541,51.87,65.76,178.69,66,38.45,65,54,56.88,198.89,2803,206.09,66.11,50.81,66.79,51.87,65.76,67,,1.25,0.95,0.74,1.72,,0.64,1.3,0.92,0.91,,0.8,0.17,0.83,56.88,0.89,0.91,,0.64,0.77,0.89,0.91,,0.73,0.74,0.64,0.79,1.27,0.34
S1255_1260 (3).tif,443.49,8383,102.19,116.76,324.57,110,73.52,119,108,103.31,379.16,9467,380.58,113.22,97.61,126.48,102.19,116.76,124,,1.37,1.01,0.7,1.5,,0.54,1.16,0.86,0.89,,0.73,0.09,0.91,103.31,0.85,0.89,,0.54,0.86,0.85,0.89,,0.67,0.7,0.54,0.88,1.14,0.25
S1255_1260 (6).tif,381.1,7510,91.68,110.46,307.2,106,68.05,116,92,97.79,343.12,8092,349.4,113.71,85.31,118.15,91.68,110.46,119,,1.24,0.94,0.74,1.56,,0.65,1.33,0.92,0.93,,0.81,0.21,0.79,97.79,0.9,0.93,,0.65,0.75,0.9,0.93,,0.69,0.74,0.65,0.83,1.2,0.33
S1255_1260.tif,365.99,6346,82.97,97.67,282.39,94,65.23,113,94,89.89,321.58,6950,332.37,103.75,80.16,114.87,82.97,97.67,116,,1.3,1.01,0.78,1.44,,0.6,1.29,0.91,0.91,,0.77,0.17,0.83,89.89,0.88,0.91,,0.6,0.77,0.88,0.91,,0.61,0.78,0.6,0.85,1.18,0.29
S1255_1262.tif,341.4,4744,66.13,109.16,244.16,108,43.54,108,66,77.72,306.49,5863,304.62,106.05,60.69,109.17,66.13,109.16,110,,1.4,0.97,0.66,2.48,,0.51,1.75,0.89,0.81,,0.72,0.39,0.61,77.72,0.9,0.81,,0.51,0.57,0.9,0.81,,0.51,0.66,0.51,0.61,1.65,0.17
S1255_1270.tif,274.84,3687,56.34,95.69,215.25,77,38.46,103,56,68.52,257.97,4024,261.04,95.14,51.26,103.62,56.34,95.69,105,,1.28,0.9,0.68,2,,0.61,1.86,0.95,0.92,,0.78,0.46,0.54,68.52,0.94,0.92,,0.61,0.54,0.94,0.92,,0.44,0.68,0.61,0.59,1.7,0.18
S1255_1272 (2).tif,479.24,7579,104.19,109.64,308.61,107,71.81,119,119,98.23,377.24,9409,384.1,103.01,101.09,123.42,104.19,109.64,122,,1.55,1.12,0.66,1.49,,0.41,1.02,0.8,0.81,,0.64,0,1,98.23,0.79,0.81,,0.41,0.98,0.79,0.81,,0.63,0.66,0.41,0.95,1.05,0.17
S1255_1272 (3).tif,412.07,7414,90.61,122.79,305.23,111,60.06,135,84,97.16,361.75,8153,370.24,125.83,78.43,135.07,90.61,122.79,136,,1.35,0.97,0.67,1.85,,0.55,1.6,0.9,0.91,,0.74,0.38,0.62,97.16,0.88,0.91,,0.55,0.62,0.88,0.91,,0.52,0.67,0.55,0.74,1.36,0.19
S1255_1274.tif,331.75,4155,62.38,99.16,228.5,96,42.14,102,62,72.73,281.32,4982,292.1,101.25,56.87,103.95,62.38,99.16,105,,1.45,1.03,0.67,2.28,,0.47,1.78,0.88,0.83,,0.69,0.39,0.61,72.73,0.85,0.83,,0.47,0.56,0.85,0.83,,0.49,0.67,0.47,0.63,1.59,0.16
S1255_1276.tif,306.98,3809,63.88,87.17,218.78,86,44.95,92,61,69.64,257.72,4410,265.1,87.95,57.56,93.68,63.88,87.17,95,,1.4,1.02,0.68,1.91,,0.51,1.53,0.86,0.86,,0.71,0.34,0.66,69.64,0.84,0.86,,0.51,0.65,0.84,0.86,,0.55,0.68,0.51,0.73,1.36,0.19
