PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1255_1272 (2).tif,479.24,7579,104.19,109.64,308.61,107,71.81,119,119,98.23,377.24,9409,384.1,103.01,101.09,123.42,104.19,109.64,122,,1.55,1.12,0.66,1.49,,0.41,1.02,0.8,0.81,,0.64,0,1,98.23,0.79,0.81,,0.41,0.98,0.79,0.81,,0.63,0.66,0.41,0.95,1.05,0.17
S1272_800 (3).tif,120.47,834,33.54,33.54,102.37,34,24.88,35,32,32.59,112.81,914,115.79,34.95,31.19,36.89,33.54,33.54,37,,1.18,0.9,0.74,1.37,,0.72,1.12,0.96,0.91,,0.85,0.09,0.91,32.59,0.94,0.91,,0.72,0.89,0.94,0.91,,0.78,0.74,0.72,1,1,0.42
S1272_836 (2).tif,268.49,2152,55.54,59.88,164.45,54,39.47,64,56,52.35,203.14,2768,204.47,57.02,52.95,69.38,55.54,59.88,70,,1.63,1.16,0.65,1.37,,0.38,1.08,0.76,0.78,,0.61,0.13,0.88,52.35,0.76,0.78,,0.38,0.93,0.76,0.78,,0.57,0.65,0.38,0.93,1.08,0.14
S1272_840.tif,568.94,9276,94.49,160.41,341.42,142,59.45,159,99,108.68,441.73,11576,479.82,157.96,89.6,161.37,94.49,160.41,162,,1.67,1.12,0.61,2.39,,0.36,1.76,0.84,0.8,,0.6,0.38,0.62,108.68,0.78,0.8,,0.36,0.57,0.78,0.8,,0.45,0.61,0.36,0.59,1.7,0.1
S1272_866.tif,823.11,32794,192.27,230.53,641.95,222,147.96,249,199,204.34,748.06,35994,771.02,228.19,192.43,257.23,192.27,230.53,255,,1.28,0.97,0.74,1.5,,0.61,1.19,0.94,0.91,,0.78,0.2,0.8,204.34,0.91,0.91,,0.61,0.84,0.91,0.91,,0.63,0.74,0.61,0.83,1.2,0.28
S1272_870.tif,426.13,8612,99.67,112.73,328.97,112,77.26,125,110,104.71,383.16,9612,382.59,116.16,97.76,131.98,99.67,112.73,133,,1.3,1,0.77,1.45,,0.6,1.19,0.9,0.9,,0.77,0.12,0.88,104.71,0.9,0.9,,0.6,0.84,0.9,0.9,,0.63,0.77,0.6,0.88,1.13,0.29
S1272_874.tif,543.57,14222,131.22,158.43,422.75,157,90.64,161,131,134.57,499.57,16039,535.13,161.16,121.99,172.75,131.22,158.43,166,,1.29,0.94,0.68,1.73,,0.6,1.32,0.98,0.89,,0.78,0.19,0.81,134.57,0.92,0.89,,0.6,0.76,0.92,0.89,,0.61,0.68,0.6,0.83,1.21,0.25
S1272_896 (2).tif,563.97,13914,138.29,150.35,418.15,146,94.41,170,136,133.1,505,16111,514.97,163.7,117.62,170.43,138.29,150.35,171,,1.35,0.98,0.67,1.55,,0.55,1.39,0.91,0.86,,0.74,0.2,0.8,133.1,0.9,0.86,,0.55,0.72,0.9,0.86,,0.61,0.67,0.55,0.92,1.09,0.22
S1272_896.tif,589.43,15468,134.2,168.79,440.88,158,91.36,177,132,140.34,513.97,17209,522.66,166.09,124.54,178.62,134.2,168.79,179,,1.34,0.97,0.68,1.73,,0.56,1.33,0.89,0.9,,0.75,0.25,0.75,140.34,0.87,0.9,,0.56,0.75,0.87,0.9,,0.62,0.68,0.56,0.8,1.26,0.24
S1272_898.tif,495.43,8120,100.46,138.82,319.44,133,58.97,139,108,101.68,403.79,10286,421.12,127.47,94.78,142.86,100.46,138.82,141,,1.55,1.04,0.58,2.26,,0.42,1.34,0.85,0.79,,0.64,0.22,0.78,101.68,0.82,0.79,,0.42,0.74,0.82,0.79,,0.51,0.58,0.42,0.72,1.38,0.12
S1272_906.tif,459.49,9547,114.28,115.43,346.37,113,83.61,135,118,110.25,407.59,10546,427.77,122.05,109.63,136.85,114.28,115.43,137,,1.33,1,0.72,1.35,,0.57,1.11,0.93,0.91,,0.75,0.13,0.87,110.25,0.89,0.91,,0.57,0.9,0.89,0.91,,0.65,0.72,0.57,0.99,1.01,0.27
S1272_920 (3).tif,460.32,7106,65.7,173.66,298.83,165,40.98,173,66,95.12,419.65,8079,446.1,164.32,58.48,174.45,65.7,173.66,175,,1.54,0.96,0.62,4.03,,0.42,2.81,0.97,0.88,,0.65,0.62,0.38,95.12,0.91,0.88,,0.42,0.36,0.91,0.88,,0.3,0.62,0.42,0.38,2.64,0.08
S1272_922.tif,786.22,18412,139.07,200.47,481.01,196,93.85,205,142,153.11,586.98,22395,581.29,203.51,123.36,205.64,139.07,200.47,207,,1.63,1.16,0.66,2.09,,0.37,1.65,0.74,0.82,,0.61,0.31,0.69,153.11,0.75,0.82,,0.37,0.61,0.75,0.82,,0.55,0.66,0.37,0.69,1.44,0.14
S1272_924 (4).tif,658.74,13963,126.29,173.82,418.88,155,85.15,180,127,133.34,509.77,16849,518.52,172.32,111.01,180.99,126.29,173.82,182,,1.57,1.1,0.64,1.82,,0.4,1.55,0.79,0.83,,0.64,0.29,0.71,133.34,0.77,0.83,,0.4,0.64,0.77,0.83,,0.54,0.64,0.4,0.73,1.38,0.14
S1272_926 (2).tif,346.39,6386,69.89,107.83,283.28,108,59.61,108,69,90.17,331.56,6858,342.88,115.95,72.58,113.35,69.89,107.83,114,,1.22,0.97,0.85,1.81,,0.67,1.6,0.99,0.93,,0.82,0.36,0.64,90.17,0.96,0.93,,0.67,0.63,0.96,0.93,,0.63,0.85,0.67,0.65,1.54,0.36
S1283_1036.tif,254.69,3278,46.29,97.23,202.96,87,33.51,99,50,64.6,250.55,3543,249.35,96.56,44.42,99.86,46.29,97.23,101,,1.25,0.89,0.73,2.6,,0.64,2.17,0.98,0.93,,0.8,0.49,0.51,64.6,0.98,0.93,,0.64,0.46,0.98,0.93,,0.42,0.73,0.64,0.48,2.1,0.19
S1283_1052.tif,351.12,5865,75.4,103,271.48,104,57.26,103,77,86.42,308.43,6550,306.75,102.47,75.19,104.29,75.4,103,104,,1.29,0.98,0.76,1.82,,0.6,1.36,0.87,0.9,,0.77,0.25,0.75,86.42,0.88,0.9,,0.6,0.73,0.88,0.9,,0.69,0.76,0.6,0.73,1.37,0.31
S1283_1072 (2).tif,522.62,11022,76.41,188.01,372.16,182,58.53,189,80,118.46,490.19,12795,515.37,197.79,75.81,191.93,76.41,188.01,192,,1.4,0.99,0.77,3.11,,0.51,2.61,0.99,0.86,,0.71,0.58,0.42,118.46,0.94,0.86,,0.51,0.38,0.94,0.86,,0.38,0.77,0.51,0.41,2.46,0.15
S1283_950.tif,439.83,9039,99.19,127.94,337.03,117,73.46,132,103,107.28,390.29,10034,411.85,127.13,95.97,135.69,99.19,127.94,133,,1.31,0.97,0.71,1.59,,0.59,1.32,0.94,0.9,,0.77,0.22,0.78,107.28,0.89,0.9,,0.59,0.75,0.89,0.9,,0.63,0.71,0.59,0.78,1.29,0.26
S1283_964 (2).tif,545.04,9509,105.13,167.02,345.68,165,60.41,186,100,110.03,491.75,11825,542.38,178.74,87.73,188.57,105.13,167.02,190,,1.58,1,0.54,2.73,,0.4,2.04,1,0.8,,0.63,0.46,0.54,110.03,0.9,0.8,,0.4,0.49,0.9,0.8,,0.34,0.54,0.4,0.63,1.59,0.07
S1283_964 (3).tif,516.94,9645,108.18,143.47,348.14,125,68.44,166,107,110.82,439.71,11529,450.12,152.96,86.52,166.42,108.18,143.47,167,,1.48,1.03,0.62,1.83,,0.45,1.77,0.87,0.84,,0.67,0.36,0.64,110.82,0.85,0.84,,0.45,0.57,0.85,0.84,,0.44,0.62,0.45,0.75,1.33,0.12
S1283_972.tif,407.85,8162,80.45,144.42,320.26,144,56.34,144,81,101.94,382.88,8950,377.01,141,76.2,144.64,80.45,144.42,146,,1.27,0.91,0.7,2.56,,0.62,1.85,0.92,0.91,,0.79,0.44,0.56,101.94,0.94,0.91,,0.62,0.54,0.94,0.91,,0.5,0.7,0.62,0.56,1.8,0.22
S1283_980.tif,336.92,4967,64.48,103.68,249.83,104,47.96,104,68,79.52,284.25,5434,288.83,99.83,64.96,103.7,64.48,103.68,105,,1.35,1,0.74,2.17,,0.55,1.54,0.86,0.91,,0.74,0.35,0.65,79.52,0.84,0.91,,0.55,0.65,0.84,0.91,,0.59,0.74,0.55,0.62,1.61,0.24
